Year,Country,Region,Population,Income,LifeExpectancy,,,,,,,,,,,,,,,,,,,,
1800,Suriname,America,80721,1004.13,32.9,,,,,,,,,,,,,,,,,,,,
1800,Trinidad_and_Tobago,America,60000,774.21,32.9,,,,,,,,,,,,,,,,,,,,
1800,United_States,America,.,1912.62,39.41,,,,,,,,,,,,,,,,,,,,
1800,Uruguay,America,55000,784.46,32.9,,,,,,,,,,,,,,,,,,,,
1800,Albania,Europe_Central_Asia,.,601.22,35.4,,,,,,,,,,,,,,,,,,,,
1800,Armenia,Europe_Central_Asia,413326,502.64,.,,,,,,,,,,,,,,,,,,,,
1800,Austria,Europe_Central_Asia,.,1434.51,34.4,,,,,,,,,,,,,,,,,,,,
1800,Azerbaijan,Europe_Central_Asia,879960,639.95,.,,,,,,,,,,,,,,,,,,,,
1800,Belarus,Europe_Central_Asia,2355081,717.05,36.2,,,,,,,,,,,,,,,,,,,,
1800,Belgium,Europe_Central_Asia,.,1554,40,,,,,,,,,,,,,,,,,,,,
1800,Bosnia_and_Herzegovina,Europe_Central_Asia,851806,490.82,35.1,,,,,,,,,,,,,,,,,,,,
1800,Bulgaria,Europe_Central_Asia,.,836.31,35.8,,,,,,,,,,,,,,,,,,,,
1800,Croatia,Europe_Central_Asia,1227886,1227.06,36.1,,,,,,,,,,,,,,,,,,,,
1800,Cyprus,Europe_Central_Asia,184392,572.78,38.5,,,,,,,,,,,,,,,,,,,,
1800,Denmark,Europe_Central_Asia,.,1342.84,35,,,,,,,,,,,,,,,,,,,,
1800,Estonia,Europe_Central_Asia,334136,906.39,36.5,,,,,,,,,,,,,,,,,,,,
1800,Finland,Europe_Central_Asia,.,1037.69,31.8,,,,,,,,,,,,,,,,,,,,
1800,France,Europe_Central_Asia,.,1388.32,32.4,,,,,,,,,,,,,,,,,,,,
1800,Georgia,Europe_Central_Asia,1072178,571.2,.,,,,,,,,,,,,,,,,,,,,
1800,Germany,Europe_Central_Asia,.,1695.68,38.37,,,,,,,,,,,,,,,,,,,,
1800,Greece,Europe_Central_Asia,.,934.41,36.6,,,,,,,,,,,,,,,,,,,,
1800,Hungary,Europe_Central_Asia,.,1390.67,36,,,,,,,,,,,,,,,,,,,,
1800,Iceland,Europe_Central_Asia,61428,801.9,32.4,,,,,,,,,,,,,,,,,,,,
1800,Ireland,Europe_Central_Asia,.,1213.16,37.7,,,,,,,,,,,,,,,,,,,,
1800,Italy,Europe_Central_Asia,.,1339.84,29.01,,,,,,,,,,,,,,,,,,,,
1800,Kazakhstan,Europe_Central_Asia,2041282,585.03,26.2,,,,,,,,,,,,,,,,,,,,
1800,Latvia,Europe_Central_Asia,590588,865.19,33,,,,,,,,,,,,,,,,,,,,
1800,Lithuania,Europe_Central_Asia,778655,988.79,28.9,,,,,,,,,,,,,,,,,,,,
1800,Luxembourg,Europe_Central_Asia,127030,1145.57,36.9,,,,,,,,,,,,,,,,,,,,
1800,Macedonia_FYR,Europe_Central_Asia,391865,800.76,.,,,,,,,,,,,,,,,,,,,,
1800,Malta,Europe_Central_Asia,134072,515.5,.,,,,,,,,,,,,,,,,,,,,
1800,Moldova,Europe_Central_Asia,712558,617.12,.,,,,,,,,,,,,,,,,,,,,
1800,Montenegro,Europe_Central_Asia,126582,1112.36,35.4,,,,,,,,,,,,,,,,,,,,
1800,Netherlands,Europe_Central_Asia,.,2412.43,39.86,,,,,,,,,,,,,,,,,,,,
1800,Norway,Europe_Central_Asia,.,950,38.8,,,,,,,,,,,,,,,,,,,,
1800,Poland,Europe_Central_Asia,.,1198.39,35.9,,,,,,,,,,,,,,,,,,,,
1800,Portugal,Europe_Central_Asia,.,1284.41,35.6,,,,,,,,,,,,,,,,,,,,
1800,Romania,Europe_Central_Asia,.,1093.92,35.7,,,,,,,,,,,,,,,,,,,,
1800,Serbia,Europe_Central_Asia,2147197,1308.87,35.5,,,,,,,,,,,,,,,,,,,,
1800,Slovak_Republic,Europe_Central_Asia,2140651,1197.6,36.4,,,,,,,,,,,,,,,,,,,,
1800,Slovenia,Europe_Central_Asia,469664,1357.95,36.6,,,,,,,,,,,,,,,,,,,,
1800,Spain,Europe_Central_Asia,.,1443.02,29.5,,,,,,,,,,,,,,,,,,,,
1800,Sweden,Europe_Central_Asia,.,1100,32.16,,,,,,,,,,,,,,,,,,,,
1800,Switzerland,Europe_Central_Asia,.,1612.48,38,,,,,,,,,,,,,,,,,,,,
1800,Tajikistan,Europe_Central_Asia,466629,428.48,.,,,,,,,,,,,,,,,,,,,,
